Country,Latitude (generated),Longitude (generated),Happiness Score
Luxembourg,49.671,6.113,6.9
Lithuania,55.342,24.23,5.8
Libya,27.24,17.571,5.6
Liberia,6.51,-9.33,3.6
Lebanon,34.161,36.021,5.1
Latvia,57.017,25.0173,5.6
Laos,19.595,102.538,4.9
Kyrgyzstan,41.741,75.043,5.2
Kuwait,29.3169,47.4272,6.2
Kosovo,42.546,20.921,5.4
Kenya,0.806,38.166,4.4
Kazakhstan,48.866,69.772,5.9
Jordan,30.681,36.279,5.3
Japan,35.962,137.855,5.9
Jamaica,18.163,-77.477,5.5
Ivory Coast,7.497,-5.336,3.9
Italy,44.3713,11.1084,6.0
Israel,30.992,34.834,7.3
Ireland,53.214,-7.588,6.9
Iraq,33.545,43.278,4.6
Iran,33.408,54.0418,4.8
Indonesia,-0.739,114.045,5.3
India,22.741,78.236,4.4
Iceland,64.826,-18.417,7.5
Hungary,47.174,19.618,5.1
Hong Kong,22.4114,114.0599,5.5
Honduras,14.881,-87.123,4.9
Haiti,19.3175,-72.4205,4.0
Guinea,10.599,-10.907,3.6
Guatemala,15.124,-90.711,6.3
Greece,39.787,21.617,5.0
Ghana,7.258,-1.062,4.3
Germany,51.3819,9.9877,7.0
Georgia,42.05,43.576,4.3
Gabon,-0.406,11.914,4.1
France,46.656,2.543,6.5
Finland,62.716,26.192,7.4
Ethiopia,8.435,38.786,4.5
Estonia,58.777,25.977,5.5
El Salvador,13.848,-89.229,6.1
Egypt,26.16,28.742,4.4
Ecuador,-1.151,-78.308,6.0
Dominican Republic,19.01,-70.1685,5.2
Denmark,56.113,9.096,7.5
Czech Republic,49.848,15.2812,6.6
Cyprus,34.894,32.928,5.5
Croatia,45.754,16.385,5.5
Costa Rica,10.126,-84.075,7.1
Congo (Kinshasa),-1.418,23.607,4.3
Congo (Brazzaville),0.509,16.08,4.2
Comoros,-11.6527,43.3307,4.0
Colombia,3.794,-73.606,6.5
China,35.1753,99.3877,5.2
Chile,-23.176,-69.201,6.7
Chad,15.981,18.781,3.8
Canada,59.2067,-111.1937,7.4
Cameroon,4.4,12.131,4.5
Cambodia,12.69,104.444,3.9
Burundi,-3.333,29.749,2.9
Burkina Faso,12.673,-1.226,3.7
Bulgaria,42.625,24.521,4.2
Brazil,-11.694,-48.978,7.0
Botswana,-22.126,23.662,4.0
Bosnia and Herzegovina,44.342,17.804,5.2
Bolivia,-16.71,-65.183,5.8
Bhutan,27.5342,90.3002,5.2
Benin,10.478,2.274,3.5
Belize,17.108,-88.744,6.0
Belgium,50.6745,4.4588,6.9
Belarus,53.3292,27.9492,5.8
Bangladesh,24.598,90.1963,4.6
Bahrain,26.025,50.5534,6.2
Azerbaijan,40.46,47.883,5.3
Austria,47.65,14.705,7.1
Australia,-24.578,133.582,7.3
Armenia,40.56,44.449,4.4
Argentina,-33.166,-64.31,6.7
Angola,-12.836,17.808,3.9
Algeria,28.6045,2.64,6.4
Albania,40.654,20.076,4.7
Afghanistan,34.023,65.5267,3.4
