Year,Genre,Platform,Global Sales
2006,Misc,PS2,5.12
2009,Action,PS3,5.11
2010,Sports,PS3,5.08
1996,Action,PS,5.05
1999,Sports,PS,5.02
1999,Strategy,PS,5.01
1998,Platform,PS,5
2007,Misc,PS2,4.98
2007,Action,PS3,4.94
2005,Sports,PS2,4.91
2010,Action,PS3,4.84
2007,Adventure,PS3,4.83
2014,Sports,PS3,4.82
1999,Racing,PS,4.79
2016,Sports,PS4,4.77
2000,Action,PS,4.73
2003,Racing,PS2,4.7
2000,Sports,PS,4.68
2002,Action,PS2,4.67
1996,Action,PS,4.63
2014,Action,PS4,4.55
2004,Sports,PS2,4.53
2006,Sports,PS2,4.49
2002,Action,PS2,4.48
2000,Role-Playing,PS,4.47
2015,Action,PS4,4.47
2014,Shooter,PS3,4.45
2005,Action,PS2,4.45
2001,Sports,PS2,4.41
2006,Sports,PS2,4.39
2005,Racing,PS2,4.37
2006,Shooter,PS3,4.35
2005,Role-Playing,PS2,4.33
2009,Action,PS3,4.25
2011,Action,PS3,4.24
2004,Action,PS2,4.23
2005,Sports,PS2,4.21
2003,Misc,PS2,4.2
2016,Shooter,PS4,4.2
2007,Racing,PS3,4.2
2009,Fighting,PS3,4.19
1997,Action,PS,4.16
2002,Sports,PS2,4.14
2014,Action,PS4,4.14
2006,Sports,PS2,4.11
2007,Action,PS2,4.07
2005,Sports,PS2,4.06
1996,Misc,PS,4.05
2000,Fighting,PS2,4.05
2014,Shooter,PS4,4.03
2014,Misc,PS4,4.02
2008,Role-Playing,PS3,4.01
2005,Misc,PS2,3.98
2014,Action,PS4,3.92
2003,Sports,PS2,3.9
2013,Action,PS3,3.89
2006,Racing,PS3,3.88
2005,Fighting,PS2,3.87
2010,Sports,PS3,3.87
2015,Sports,PS4,3.85
2004,Sports,PS2,3.85
1995,Misc,PS,3.84
2015,Action,PS4,3.79
1996,Action,PS,3.77
2001,Action,PS,3.73
2015,Role-Playing,PS4,3.73
1999,Action,PS,3.72
2000,Platform,PS,3.71
2004,Sports,PS2,3.7
2013,Shooter,PS3,3.69
2002,Sports,PS2,3.67
2002,Shooter,PS2,3.65
2013,Racing,PS3,3.64
2001,Platform,PS2,3.64
2009,Sports,PS3,3.63
2007,Sports,PS2,3.63
2013,Shooter,PS4,3.63
2005,Action,PS2,3.62
2016,Shooter,PS4,3.61
2004,Shooter,PS2,3.61
2001,Racing,PS2,3.61
2005,Shooter,PS2,3.59
2000,Fighting,PS,3.58
1997,Platform,PS,3.56
2006,Action,PS2,3.54
2002,Action,PS2,3.54
1997,Action,PS,3.54
2001,Shooter,PS2,3.53
2005,Action,PS2,3.53
2000,Action,PS,3.52
1999,Platform,PS,3.52
,Sports,PS2,3.49
2012,Shooter,PS3,3.45
2002,Fighting,PS2,3.44
2013,Shooter,PS4,3.43
2011,Platform,PS3,3.42
1998,Action,PS,3.42
2004,Action,PS2,3.41
2002,Sports,PS2,3.4
2000,Misc,PS,3.39
2015,Action,PS4,3.38
1998,Fighting,PS,3.36
1998,Adventure,PS,3.34
2002,Shooter,PS2,3.33
2002,Platform,PS2,3.33
2005,Action,PS2,3.32
2001,Shooter,PS2,3.31
2003,Action,PS2,3.28
2015,Action,PS4,3.28
2003,Action,PS2,3.27
1995,Fighting,PS,3.24
2011,Adventure,PS3,3.23
2015,Sports,PS4,3.22
1999,Shooter,PS,3.21
2000,Fighting,PS,3.2
2003,Action,PS2,3.18
2010,Role-Playing,PS3,3.17
2001,Simulation,PS2,3.17
2012,Shooter,PS3,3.15
2007,Sports,PS2,3.14
2000,Action,PS,3.13
1998,Racing,PS,3.12
2007,Role-Playing,PS3,3.12
2010,Adventure,PS3,3.12
2002,Fighting,PS2,3.09
2001,Sports,PS2,3.08
1995,Platform,PS,3.03
2009,Shooter,PS3,3.02
2002,Sports,PS2,3.02
2007,Fighting,PS2,3
,Fighting,PS2,3
2014,Action,PS4,2.99
2002,Sports,PS2,2.99
2001,Action,PS2,2.99
2010,Shooter,PS3,2.97
2003,Platform,PS2,2.96
2002,Action,PS2,2.96
2003,Shooter,PS2,2.94
2005,Fighting,PS2,2.94
2009,Action,PS3,2.94
2013,Sports,PS4,2.9
2004,Misc,PS2,2.9
2003,Sports,PS2,2.9
2012,Racing,PS3,2.89
2001,Sports,PS2,2.89
2004,Shooter,PS2,2.89
1999,Shooter,PS,2.88
1998,Racing,PS,2.87
2011,Fighting,PS3,2.85
2015,Sports,PS3,2.85
2010,Action,PS3,2.84
2010,Shooter,PS3,2.83
2002,Fighting,PS2,2.83
2010,Racing,PS3,2.81
2003,Fighting,PS2,2.8
1997,Sports,PS,2.79
2011,Shooter,PS3,2.79
1998,Platform,PS,2.79
2001,Fighting,PS2,2.79
1996,Fighting,PS,2.79
2001,Sports,PS2,2.79
2003,Platform,PS2,2.78
2014,Action,PS4,2.78
2003,Platform,PS2,2.78
2009,Fighting,PS3,2.78
2003,Simulation,PS2,2.77
2013,Action,PS4,2.74
2001,Action,PS2,2.7
2015,Fighting,PS4,2.7
2006,Action,PS2,2.69
2004,Racing,PS2,2.68
2009,Racing,PS3,2.68
2011,Role-Playing,PS3,2.68
2005,Shooter,PS2,2.67
1998,Shooter,PS,2.67
2003,Action,PS2,2.65
2000,Racing,PS2,2.63
2009,Action,PS3,2.63
2004,Sports,PS2,2.62
2002,Action,PS2,2.61
2008,Sports,PS3,2.59
2007,Platform,PS3,2.59
2004,Sports,PS2,2.59
2013,Shooter,PS4,2.58
2006,Fighting,PS2,2.58
2004,Platform,PS2,2.57
2007,Sports,PS2,2.57
2012,Sports,PS3,2.56
2001,Racing,PS2,2.52
2013,Action,PS3,2.51
2008,Sports,PS2,2.5
2011,Action,PS3,2.49
2002,Fighting,PS2,2.49
2008,Shooter,PS3,2.48
1998,Action,PS,2.48
2012,Sports,PS3,2.48
2008,Racing,PS3,2.45
1997,Role-Playing,PS,2.45
1996,Racing,PS,2.44
2003,Simulation,PS2,2.43
2010,Sports,PS3,2.42
2003,Fighting,PS2,2.41
2001,Racing,PS2,2.41
1998,Action,PS,2.41
2007,Racing,PS2,2.41
1996,Puzzle,PS,2.4
2015,Racing,PS4,2.39
2013,Action,PS3,2.39
2005,Misc,PS2,2.38
2007,Action,PS3,2.38
2015,Action,PS4,2.38
2014,Sports,PS4,2.38
2010,Sports,PS3,2.38
2001,Misc,PS2,2.38
2004,Action,PS2,2.37
2004,Sports,PS2,2.37
2009,Sports,PS3,2.37
2007,Fighting,PS2,2.34
2001,Action,PS2,2.34
1997,Action,PS,2.32
2004,Shooter,PS2,2.31
1999,Racing,PS,2.31
1998,Sports,PS,2.31
2011,Action,PS3,2.29
2013,Action,PS3,2.29
2009,Sports,PS3,2.28
2008,Sports,PS2,2.28
2008,Action,PS3,2.28
2012,Shooter,PS3,2.28
1997,Racing,PS,2.28
2009,Misc,PS3,2.27
2007,Misc,PS3,2.26
2002,Adventure,PS2,2.25
1997,Sports,PS,2.25
2011,Sports,PS3,2.25
2009,Simulation,PS2,2.23
2003,Action,PS2,2.22
2006,Action,PS2,2.21
2011,Action,PS3,2.19
2012,Action,PS3,2.19
2002,Racing,PS2,2.18
2000,Shooter,PS,2.15
2015,Shooter,PS4,2.15
2004,Simulation,PS2,2.13
2016,Action,PS4,2.13
2011,Sports,PS3,2.11
2009,Shooter,PS3,2.11
2008,Sports,PS3,2.11
2002,Racing,PS2,2.11
2003,Action,PS2,2.11
1998,Role-Playing,PS,2.1
2002,Platform,PS2,2.1
2005,Action,PS2,2.09
1997,Sports,PS,2.09
2003,Action,PS2,2.09
2015,Shooter,PS4,2.09
2002,Puzzle,PS2,2.08
2008,Racing,PS3,2.08
2010,Action,PS3,2.08
2010,Sports,PS3,2.08
2002,Shooter,PS,2.07
2011,Role-Playing,PS3,2.07
2010,Simulation,PS3,2.06
1998,Racing,PS,2.06
2003,Fighting,PS2,2.06
2007,Racing,PS3,2.05
2013,Sports,PS3,2.05
2013,Role-Playing,PS3,2.05
2006,Shooter,PS2,2.04
2005,Action,PS2,2.04
2011,Action,PS3,2.04
2014,Sports,PS4,2.03
2003,Sports,PS2,2.03
2008,Action,PS3,2.02
2013,Action,PS3,2
2014,Racing,PS4,2
2008,Fighting,PS3,2
1997,Action,PS,1.99
2002,Action,PS,1.98
2014,Role-Playing,PS4,1.97
2002,Platform,PS2,1.97
2003,Action,PS2,1.97
2008,Racing,PS3,1.97
2003,Racing,PS2,1.95
2003,Sports,PS2,1.95
2003,Fighting,PS2,1.94
2001,Adventure,PS,1.94
2004,Fighting,PS2,1.94
1997,Racing,PS,1.94
2002,Shooter,PS2,1.94
2004,Role-Playing,PS2,1.93
2008,Misc,PS3,1.93
2014,Action,PS3,1.93
2001,Shooter,PS2,1.92
2004,Racing,PS2,1.92
1996,Misc,PS,1.92
2015,Shooter,PS4,1.91
2012,Shooter,PS3,1.9
2013,Racing,PS4,1.89
2008,Sports,PS3,1.89
2009,Platform,PS3,1.88
1999,Role-Playing,PS,1.88
2004,Fighting,PS2,1.88
1999,Sports,PS,1.88
2005,Shooter,PS2,1.88
1998,Fighting,PS,1.88
2007,Misc,PS2,1.87
1998,Sports,PS,1.87
2001,Action,PS2,1.87
2004,Platform,PS2,1.86
1999,Role-Playing,PS,1.86
2004,Misc,PS2,1.86
2014,Platform,PS4,1.86
2001,Sports,PS2,1.86
1999,Role-Playing,PS,1.86
2004,Platform,PS2,1.85
2011,Action,PS3,1.85
2001,Racing,PS2,1.84
2009,Role-Playing,PS3,1.84
2005,Sports,PS2,1.84
1996,Racing,PS,1.83
2015,Action,PS4,1.83
1995,Simulation,PS,1.83
2001,Misc,PS2,1.82
2014,Action,PS4,1.81
2003,Simulation,PS2,1.81
2002,Fighting,PS2,1.81
2004,Platform,PS2,1.81
2008,Misc,PS2,1.8
2010,Action,PS3,1.8
1999,Sports,PS,1.8
2015,Shooter,PS3,1.79
2013,Adventure,PS3,1.79
2003,Racing,PS2,1.78
2001,Action,PS,1.78
2004,Action,PS2,1.78
2010,Action,PS3,1.78
2012,Role-Playing,PS3,1.78
2005,Action,PS2,1.77
2013,Sports,PS3,1.77
2009,Fighting,PS3,1.77
1998,Fighting,PS,1.76
2004,Platform,PS2,1.76
2004,Fighting,PS2,1.76
2002,Action,PS2,1.76
2013,Shooter,PS3,1.76
,Action,PS,0.09
,Action,PS,0.18
,Action,PS,1.04
1995,Action,PS,0.09
1995,Action,PS,0.1
1995,Action,PS,0.14
1995,Action,PS,0.47
1995,Action,PS,0.45
1995,Action,PS,1.56
1996,Action,PS,0.03
1996,Action,PS,0.03
1996,Action,PS,0.03
1996,Action,PS,0.04
1996,Action,PS,0.09
1996,Action,PS,0.16
1996,Action,PS,0.16
1996,Action,PS,0.17
1996,Action,PS,0.17
1996,Action,PS,0.23
1996,Action,PS,0.34
1996,Action,PS,0.32
1996,Action,PS,0.38
1996,Action,PS,1.04
1997,Action,PS,0.02
1997,Action,PS,0.03
1997,Action,PS,0.04
1997,Action,PS,0.06
1997,Action,PS,0.07
1997,Action,PS,0.07
1997,Action,PS,0.09
1997,Action,PS,0.19
1997,Action,PS,0.23
1997,Action,PS,0.17
1997,Action,PS,0.24
1997,Action,PS,0.24
1997,Action,PS,0.27
1997,Action,PS,0.36
1997,Action,PS,0.63
1997,Action,PS,0.68
1997,Action,PS,0.85
1997,Action,PS,1.02
1998,Action,PS,0.02
1998,Action,PS,0.02
1998,Action,PS,0.04
1998,Action,PS,0.05
1998,Action,PS,0.07
1998,Action,PS,0.07
1998,Action,PS,0.08
1998,Action,PS,0.07
1998,Action,PS,0.08
1998,Action,PS,0.11
1998,Action,PS,0.13
1998,Action,PS,0.13
1998,Action,PS,0.14
1998,Action,PS,0.15
1998,Action,PS,0.23
1998,Action,PS,0.1
1998,Action,PS,0.24
1998,Action,PS,0.25
1998,Action,PS,0.33
1998,Action,PS,0.34
1998,Action,PS,0.35
1998,Action,PS,0.38
1998,Action,PS,0.27
1998,Action,PS,0.42
1998,Action,PS,0.45
1998,Action,PS,0.67
1998,Action,PS,1.5
1998,Action,PS,1.73
1998,Action,PS,0.72
1999,Action,PS,0.02
1999,Action,PS,0.05
1999,Action,PS,0.05
1999,Action,PS,0.06
1999,Action,PS,0.08
1999,Action,PS,0.1
1999,Action,PS,0.18
1999,Action,PS,0.21
1999,Action,PS,0.22
1999,Action,PS,0.38
1999,Action,PS,0.41
1999,Action,PS,0.49
1999,Action,PS,0.52
1999,Action,PS,1.28
1999,Action,PS,0.56
1999,Action,PS,0.55
1999,Action,PS,0.59
1999,Action,PS,0.61
1999,Action,PS,0.85
1999,Action,PS,0.9
1999,Action,PS,1.21
1999,Action,PS,1.43
1999,Action,PS,1.6
2000,Action,PS,0.03
2000,Action,PS,0.06
2000,Action,PS,0.06
2000,Action,PS,0.07
2000,Action,PS,0.09
2000,Action,PS,0.15
2000,Action,PS,0.17
2000,Action,PS,0.17
2000,Action,PS,0.17
2000,Action,PS,0.18
2000,Action,PS,0.18
2000,Action,PS,0.2
2000,Action,PS,0.24
2000,Action,PS,0.3
2000,Action,PS,0.3
2000,Action,PS,0.35
2000,Action,PS,0.47
2000,Action,PS,0.57
2000,Action,PS,0.58
2000,Action,PS,0.71
2000,Action,PS,0.92
2000,Action,PS,1.14
2000,Action,PS,1.21
2001,Action,PS,0.02
2001,Action,PS,0.03
2001,Action,PS,0.03
2001,Action,PS,0.04
2001,Action,PS,0.07
2001,Action,PS,0.1
2001,Action,PS,0.14
2001,Action,PS,0.14
2001,Action,PS,0.18
2001,Action,PS,0.25
2001,Action,PS,0.27
2001,Action,PS,0.31
2001,Action,PS,0.32
2001,Action,PS,0.44
2001,Action,PS,0.42
2001,Action,PS,1.55
2002,Action,PS,0.02
2002,Action,PS,0.14
2002,Action,PS,0.2
2002,Action,PS,0.28
,Action,PS2,0.09
,Action,PS2,0.07
,Action,PS2,0.17
2000,Action,PS2,0.07
2000,Action,PS2,0.09
2000,Action,PS2,0.17
2000,Action,PS2,0.83
2000,Action,PS2,1.24
2000,Action,PS2,0.99
2001,Action,PS2,0.04
2001,Action,PS2,0.05
2001,Action,PS2,0.06
2001,Action,PS2,0.09
2001,Action,PS2,0.07
2001,Action,PS2,0.13
2001,Action,PS2,0.14
2001,Action,PS2,0.14
2001,Action,PS2,0.26
2001,Action,PS2,0.55
2001,Action,PS2,0.47
2001,Action,PS2,0.5
2001,Action,PS2,0.53
2001,Action,PS2,0.55
2001,Action,PS2,1.15
2001,Action,PS2,1.28
2002,Action,PS2,0.02
2002,Action,PS2,0.06
2002,Action,PS2,0.06
2002,Action,PS2,0.07
2002,Action,PS2,0.07
2002,Action,PS2,0.09
2002,Action,PS2,0.21
2002,Action,PS2,0.18
2002,Action,PS2,0.21
2002,Action,PS2,0.22
2002,Action,PS2,0.23
2002,Action,PS2,0.51
2002,Action,PS2,1
2002,Action,PS2,0.31
2002,Action,PS2,0.31
2002,Action,PS2,0.33
2002,Action,PS2,0.39
2002,Action,PS2,0.38
2002,Action,PS2,0.41
2002,Action,PS2,0.41
2002,Action,PS2,0.42
2002,Action,PS2,0.46
2002,Action,PS2,0.52
2002,Action,PS2,0.45
2002,Action,PS2,0.46
2002,Action,PS2,1.2
2002,Action,PS2,1.51
2003,Action,PS2,0.04
2003,Action,PS2,0.22
2003,Action,PS2,0.24
2003,Action,PS2,0.04
2003,Action,PS2,0.09
2003,Action,PS2,0.12
2003,Action,PS2,0.33
2003,Action,PS2,0.12
2003,Action,PS2,0.13
2003,Action,PS2,0.16
2003,Action,PS2,0.17
2003,Action,PS2,0.18
2003,Action,PS2,0.2
2003,Action,PS2,0.23
2003,Action,PS2,0.28
2003,Action,PS2,0.3
2003,Action,PS2,0.35
2003,Action,PS2,0.86
2003,Action,PS2,0.35
2003,Action,PS2,0.38
2003,Action,PS2,0.42
2003,Action,PS2,0.43
2003,Action,PS2,0.43
2003,Action,PS2,0.43
2003,Action,PS2,0.44
2003,Action,PS2,0.45
2003,Action,PS2,0.58
2003,Action,PS2,0.53
2003,Action,PS2,0.58
2003,Action,PS2,0.71
2003,Action,PS2,1.45
2003,Action,PS2,1.14
2003,Action,PS2,0.92
2003,Action,PS2,0.94
2003,Action,PS2,1.06
2003,Action,PS2,1.25
2003,Action,PS2,1.28
2003,Action,PS2,1.72
2004,Action,PS2,0.03
2004,Action,PS2,0.03
2004,Action,PS2,0.04
2004,Action,PS2,0.03
2004,Action,PS2,0.04
2004,Action,PS2,0.32
2004,Action,PS2,0.06
2004,Action,PS2,0.06
2004,Action,PS2,0.07
2004,Action,PS2,0.07
2004,Action,PS2,0.08
2004,Action,PS2,0.08
2004,Action,PS2,0.09
2004,Action,PS2,0.11
2004,Action,PS2,0.45
2004,Action,PS2,0.13
2004,Action,PS2,0.17
2004,Action,PS2,0.19
2004,Action,PS2,1.35
2004,Action,PS2,0.2
2004,Action,PS2,0.21
2004,Action,PS2,0.27
2004,Action,PS2,0.28
2004,Action,PS2,0.32
2004,Action,PS2,0.42
2004,Action,PS2,0.57
2004,Action,PS2,0.44
2004,Action,PS2,0.44
2004,Action,PS2,0.45
2004,Action,PS2,0.5
2004,Action,PS2,0.51
2004,Action,PS2,1.45
2004,Action,PS2,0.7
2004,Action,PS2,0.71
2004,Action,PS2,0.75
2004,Action,PS2,1.02
2004,Action,PS2,1.27
2004,Action,PS2,1.25
2004,Action,PS2,1.64
2005,Action,PS2,0.04
2005,Action,PS2,0.18
2005,Action,PS2,0.44
2005,Action,PS2,0.04
2005,Action,PS2,0.04
2005,Action,PS2,0.05
2005,Action,PS2,0.06
2005,Action,PS2,0.06
2005,Action,PS2,0.07
2005,Action,PS2,0.09
2005,Action,PS2,0.08
2005,Action,PS2,0.08
2005,Action,PS2,0.11
2005,Action,PS2,0.1
2005,Action,PS2,0.1
2005,Action,PS2,0.11
2005,Action,PS2,0.17
2005,Action,PS2,0.25
2005,Action,PS2,0.8
2005,Action,PS2,0.19
2005,Action,PS2,0.17
2005,Action,PS2,0.19
2005,Action,PS2,0.2
2005,Action,PS2,0.21
2005,Action,PS2,0.2
2005,Action,PS2,0.21
2005,Action,PS2,0.22
2005,Action,PS2,0.23
2005,Action,PS2,0.27
2005,Action,PS2,0.57
2005,Action,PS2,0.36
2005,Action,PS2,0.36
2005,Action,PS2,0.42
2005,Action,PS2,0.41
2005,Action,PS2,0.43
2005,Action,PS2,0.5
2005,Action,PS2,0.55
2005,Action,PS2,1.39
2005,Action,PS2,0.5
2005,Action,PS2,0.49
2005,Action,PS2,0.53
2005,Action,PS2,0.52
2005,Action,PS2,0.54
2005,Action,PS2,0.56
2005,Action,PS2,1.6
2005,Action,PS2,0.65
2005,Action,PS2,0.68
2005,Action,PS2,0.69
2005,Action,PS2,0.76
2005,Action,PS2,0.72
2005,Action,PS2,0.76
2005,Action,PS2,0.88
2005,Action,PS2,1.14
2005,Action,PS2,0.95
2006,Action,PS2,0.02
2006,Action,PS2,0.02
2006,Action,PS2,0.02
2006,Action,PS2,0.03
2006,Action,PS2,0.03
2006,Action,PS2,0.01
2006,Action,PS2,0.02
2006,Action,PS2,0.02
2006,Action,PS2,0.02
2006,Action,PS2,0.02
2006,Action,PS2,0.05
2006,Action,PS2,0.05
2006,Action,PS2,0.05
2006,Action,PS2,0.06
2006,Action,PS2,0.06
2006,Action,PS2,0.07
2006,Action,PS2,0.08
2006,Action,PS2,0.13
2006,Action,PS2,0.19
2006,Action,PS2,0.23
2006,Action,PS2,0.26
2006,Action,PS2,0.05
2006,Action,PS2,0.05
2006,Action,PS2,0.05
2006,Action,PS2,0.09
2006,Action,PS2,0.61
2006,Action,PS2,0.12
2006,Action,PS2,0.14
2006,Action,PS2,0.25
2006,Action,PS2,0.27
2006,Action,PS2,0.34
2006,Action,PS2,0.64
2006,Action,PS2,0.37
2006,Action,PS2,0.41
2006,Action,PS2,0.47
2006,Action,PS2,0.5
2006,Action,PS2,0.52
2006,Action,PS2,0.48
2006,Action,PS2,0.58
2006,Action,PS2,0.6
2006,Action,PS2,0.94
2006,Action,PS2,1.09
2006,Action,PS2,1.19
2006,Action,PS2,0.63
2007,Action,PS2,0.02
2007,Action,PS2,0.02
2007,Action,PS2,0.08
2007,Action,PS2,0.09
2007,Action,PS2,0.2
2007,Action,PS2,0.33
2007,Action,PS2,0.09
2007,Action,PS2,0.1
2007,Action,PS2,0.11
2007,Action,PS2,0.14
2007,Action,PS2,0.17
2007,Action,PS2,0.27
2007,Action,PS2,0.87
2007,Action,PS2,0.28
2007,Action,PS2,0.37
2007,Action,PS2,0.39
2007,Action,PS2,0.38
2007,Action,PS2,0.42
2007,Action,PS2,0.42
2007,Action,PS2,0.41
2007,Action,PS2,0.44
2007,Action,PS2,0.48
2007,Action,PS2,0.5
2007,Action,PS2,0.56
2007,Action,PS2,1.11
2007,Action,PS2,0.97
2007,Action,PS2,0.52
2007,Action,PS2,0.85
2007,Action,PS2,0.84
2007,Action,PS2,1.51
2008,Action,PS2,0.02
2008,Action,PS2,0.06
2008,Action,PS2,0.25
2008,Action,PS2,0.28
2008,Action,PS2,0.4
2008,Action,PS2,0.04
2008,Action,PS2,0.07
2008,Action,PS2,0.07
2008,Action,PS2,0.07
2008,Action,PS2,0.34
2008,Action,PS2,0.13
2008,Action,PS2,0.14
2008,Action,PS2,0.21
2008,Action,PS2,0.23
2008,Action,PS2,0.25
2008,Action,PS2,0.25
2008,Action,PS2,0.28
2008,Action,PS2,0.32
2008,Action,PS2,0.38
2008,Action,PS2,0.4
2008,Action,PS2,0.58
2008,Action,PS2,0.28
2008,Action,PS2,0.54
2008,Action,PS2,0.38
2008,Action,PS2,0.43
2008,Action,PS2,0.57
2008,Action,PS2,0.65
2008,Action,PS2,1.27
2008,Action,PS2,1.25
2008,Action,PS2,1.37
2009,Action,PS2,0.03
2009,Action,PS2,0.11
2009,Action,PS2,0.11
2009,Action,PS2,0.17
2009,Action,PS2,0.14
2009,Action,PS2,0.18
2009,Action,PS2,0.18
2009,Action,PS2,0.43
2009,Action,PS2,0.19
2009,Action,PS2,0.25
2009,Action,PS2,0.15
2009,Action,PS2,0.27
2009,Action,PS2,0.29
2009,Action,PS2,0.28
2009,Action,PS2,0.33
2009,Action,PS2,0.43
2009,Action,PS2,0.48
2009,Action,PS2,0.64
2010,Action,PS2,0.02
2010,Action,PS2,0.06
2010,Action,PS2,0.41
2010,Action,PS2,0.27
2010,Action,PS2,0.59
2011,Action,PS2,0.06
,Action,PS3,0.1
,Action,PS3,0.17
,Action,PS3,0.97
,Action,PS3,0.39
,Action,PS3,0.4
,Action,PS3,0.86
,Action,PS3,0.97
2006,Action,PS3,0.04
2006,Action,PS3,0.12
2006,Action,PS3,0.76
2007,Action,PS3,0.16
2007,Action,PS3,0.15
2007,Action,PS3,0.29
2007,Action,PS3,0.48
2007,Action,PS3,0.29
2007,Action,PS3,0.26
2007,Action,PS3,0.25
2007,Action,PS3,0.25
2007,Action,PS3,0.4
2007,Action,PS3,0.52
2007,Action,PS3,0.71
2007,Action,PS3,0.29
2007,Action,PS3,0.34
2007,Action,PS3,0.43
2007,Action,PS3,0.52
2007,Action,PS3,0.91
2007,Action,PS3,0.74
2007,Action,PS3,1.15
2007,Action,PS3,1.66
2008,Action,PS3,0.06
2008,Action,PS3,0.17
2008,Action,PS3,0.17
2008,Action,PS3,0.13
2008,Action,PS3,0.28
2008,Action,PS3,0.27
2008,Action,PS3,0.27
2008,Action,PS3,0.5
2008,Action,PS3,0.23
2008,Action,PS3,0.52
2008,Action,PS3,0.32
2008,Action,PS3,0.4
2008,Action,PS3,0.39
2008,Action,PS3,0.52
2008,Action,PS3,0.51
2008,Action,PS3,0.68
2008,Action,PS3,0.68
2008,Action,PS3,0.57
2008,Action,PS3,1.06
2008,Action,PS3,1.08
2008,Action,PS3,1.32
2008,Action,PS3,1.16
2008,Action,PS3,1.59
2008,Action,PS3,1.27
2008,Action,PS3,1.69
2008,Action,PS3,1.4
2009,Action,PS3,0.03
2009,Action,PS3,0.23
2009,Action,PS3,0.24
2009,Action,PS3,0.09
2009,Action,PS3,0.16
2009,Action,PS3,0.09
2009,Action,PS3,0.12
2009,Action,PS3,0.24
2009,Action,PS3,0.17
2009,Action,PS3,0.19
2009,Action,PS3,0.17
2009,Action,PS3,0.14
2009,Action,PS3,0.34
2009,Action,PS3,0.2
2009,Action,PS3,0.22
2009,Action,PS3,0.31
2009,Action,PS3,0.21
2009,Action,PS3,0.25
2009,Action,PS3,0.29
2009,Action,PS3,0.34
2009,Action,PS3,0.32
2009,Action,PS3,0.35
2009,Action,PS3,0.37
2009,Action,PS3,0.46
2009,Action,PS3,0.5
2009,Action,PS3,1.13
2009,Action,PS3,0.57
2009,Action,PS3,0.86
2009,Action,PS3,0.75
2009,Action,PS3,0.76
2009,Action,PS3,0.95
2009,Action,PS3,0.91
2009,Action,PS3,0.75
2009,Action,PS3,0.86
2009,Action,PS3,0.91
2009,Action,PS3,1.23
2009,Action,PS3,1.24
2010,Action,PS3,0.02
2010,Action,PS3,0.02
2010,Action,PS3,0.03
2010,Action,PS3,0.21
2010,Action,PS3,0.08
2010,Action,PS3,0.08
2010,Action,PS3,0.11
2010,Action,PS3,0.17
2010,Action,PS3,0.16
2010,Action,PS3,0.18
2010,Action,PS3,0.17
2010,Action,PS3,0.18
2010,Action,PS3,0.15
2010,Action,PS3,0.16
2010,Action,PS3,0.12
2010,Action,PS3,0.2
2010,Action,PS3,0.55
2010,Action,PS3,0.66
2010,Action,PS3,0.19
2010,Action,PS3,0.65
2010,Action,PS3,0.21
2010,Action,PS3,0.43
2010,Action,PS3,0.26
2010,Action,PS3,0.42
2010,Action,PS3,0.36
2010,Action,PS3,0.45
2010,Action,PS3,0.33
2010,Action,PS3,0.44
2010,Action,PS3,0.4
2010,Action,PS3,0.42
